Post URL,Image URL,Likes,Comments,Caption,Date,#spursvschelsea,#spurs,#tottenhamhotspur,#tottenham,#thfc,#chelsea,#PremierLeague,#epl,#unitedkingdom,#matchweek15,#toughtimes,#angepostecoglou,#enzomaresca,#spursindia,#mancity,#matchweek12,#premierleague,#mancityvsspurs,#pepguardiola,#football,#footballreels,#footballreactions,#memes,#reels,#instafootball,#indian,#singapore,#malaysia,#thailand,#ipswichtown,#spursvsipswichtown,#edsheeran,#matchweek11,#rage,#thfcindia,#thfcsingapore,#spurssingapore,#coys,#galatasaray,#galatasarayvsspurs,#okanburuk,#europaleague,#turkey,#india,#indonesia,#uk,#deepavali,#diwali,#halloween,#manchestercity,#spursvsmancity,#carabaocup,#crystalpalace,#cpfc,#matchweek9,#spursvscrystalpalace,#eagles,#oliverglasner,#footballmemes,#mindfulness,#happiness,#meditation,#westhamunited,#hammers,#whu,#england,#footballfans,#footballcommunity,#southkorea,#spursvswestham,#claret,#white,#sportsreels,#matchreactions,#matchweek8,#julienlopetegui,#manutd,#arsenal,#liverpool,#brightonandhovealbion,#brighton,#bha,#brightonvspurs,#red,#matchweek7,#fabianhurzeler,#tamil,#kollywood,#16,#ferencváros,#ferencvárosvsspurs,#europeanfootball,#vietnam,#philippines,#englishpremierleague
https://www.instagram.com/p/DDY5kOJxbRf/,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/469714345_18061197085849069_1458933107321021651_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi40Nzh4ODUwLnNkci5mNzU3NjEuZGVmYXVsdF9jb3Zlcl9mcmFtZSJ9&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=pfO9rt4zqdIQ7kNvgG9MMcH&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUxOTgxNjI4NjUzODY3NTI5NQ%3D%3D.3-ccb7-5&oh=00_AYDjRrxvmo0efGSTTxt-D_zy2nYHcznu9hdJ0y82yPBDLQ&oe=676B332B&_nc_sid=8f1549,4,0,"Matchday 15: 
Spurs vs Chelsea

We need a central voice or even collective voices of hope and optimism to get through this tough phase!!

SACKING ANGE IS NOT THE SOLUTION TO THIS DILEMMA 🙅🏼‍♂️🙅🏼‍♂️🙅🏼‍♂️!! 

This is the time for everyone (players, coaches, staff, fans) in the club to reflect on all of our choices and decisions that brought us to what we are now.

We need to reinvent, rethink, restructure and manage our expectations on the team, given the players we have in the club.

My ball and club operations knowledge is minimal and the best I can ever do from my side is support and stick through the toughest of times.

I truly hope Daniel Levy and the board members take the time to WELL AND TRULY reflect on how they can improve the club, FROM STRICTLY A FOOTBALLING PERSPECTIVE AND NOT INTRODUCE NEW ATTRACTIONS IN THE STADIUM 

As for the players, do what you know best. Do not over-complicate your game and try playing as straightforward as you can. Try not to let the pressure get to you as much as you can. 

Help out your teammates holistically, so that you can lift each others' spirits up.

And as for us fans, let's not abuse our players!! They would be expecting to receive some love and consoling during this tough time ❤️🙏🏼

Let's all pray to get out of the dilemma as soon as we can 🙏🏼🙏🏼🙏🏼

COYS!! TTID 💙🤍😭

#spursvschelsea #spurs #tottenhamhotspur #tottenham #thfc #chelsea #PremierLeague #epl #unitedkingdom #matchweek15 #toughtimes #angepostecoglou #enzomaresca",2024-12-10 07:15:18,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/DCuiGuIzZEn/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.2885-15/468019722_1720923558472806_821147076494790974_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=nYRv1WqJutkQ7kNvgEXK3MX&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUwNzg5MTE1NTIwNjI0NjY5NQ%3D%3D.3-ccb7-5&oh=00_AYB6S5r7HdVvNW-yrm10pdkD2QnR2I4e1WY-yHRZ7_iKGw&oe=676B2D93&_nc_sid=8f1549,5,0,"Matchweek 12:
Manchester City vs Spurs

A brand new dawn 🌄
A brand new era 😄

A fabulous start, post the recent rebrand of the club!!

If we play like this every week, we will be a statement team in all of Europe!!!

COME ON YOU SPURS 🤍💙‼️ 

#tottenhamhotspur #thfc #spurs #spursindia #mancity #matchweek12 #premierleague  #mancityvsspurs #pepguardiola #angepostecoglou  #football #footballreels #footballreactions #memes #reels #instafootball #indian #singapore #malaysia #thailand #unitedkingdom",2024-11-23 20:24:02,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/DCMpfXSR1JT/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.2885-15/466304966_2944912425667289_6547795059029979236_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=W81RJuEeAoYQ7kNvgENEZ8I&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5ODM1MzQ4NTc3MzQ5MjgxOQ%3D%3D.3-ccb7-5&oh=00_AYCtUeAg0h4SRP0vaDJEqM72uEbhZDrO-C-cr5uKrRZXJg&oe=676B2F34&_nc_sid=8f1549,6,0,"Matchweek 11: 
Spurs vs Ipswich Town

WE ARE NEVER EVER GONNA WIN TROPHIES IF THIS IS HOW WE BOTTLE SUCH GOLDEN CHANCES TO GET INTO THE TOP 4 🤬❌🏆

ABSOLUTELY EMBARRASSING 😤😤

#thfc #tottenhamhotspur #spurs #ipswichtown #spursvsipswichtown #edsheeran #premierleague  #matchweek11 #indian #singapore #malaysia #instafootball #football #rage #unitedkingdom",2024-11-10 16:33:37,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/DCFWGj-RFux/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.2885-15/466338511_567109542562506_2775725042354405631_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=8lNTDZQxCRsQ7kNvgHbutP4&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5NjI5Nzg5MzY4ODc5NDAzMw%3D%3D.3-ccb7-5&oh=00_AYCTUr7Hu7e8DhdhLANz_IzWSxyRYKTjZyY7XcwgVT2Hsw&oe=676B201F&_nc_sid=8f1549,7,0,"Matchweek 4 of Europa League:
Galatasaray vs Spurs

The defending until the time Lankshear got sent off, was abysmal. I think even a team like Albirex Niigata would've defended better over there 🤦

The second half was clear evidence to see that our First team's mentality is strong, after the introduction of Kulu, Solanke, Sarr and Bentancur 💪🧠

Lankshear must be proud of bagging his first senior goal, but must really work on his composure 

I'm baffled by the removal of Son and Brennan after the first half!! Idk if Ange did that to retain their fitness or was just a tactical change

To summarise, I think our fringe players and youngsters need to build more confidence to avoid such capitulations

We'll take valuable lessons from the game and we move forward 🤍💙💪!!

#thfc #tottenhamhotspur #thfcindia #thfcsingapore #spursindia #spurssingapore
#spurs🤍💙 #coys #galatasaray💛❤ #galatasarayvsspurs #angepostecoglou #okanburuk #europaleague #epl #premierleague #football #instafootball  #unitedkingdom #turkey #singapore #india #malaysia #indonesia #thailand",2024-11-07 20:29:45,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/DB6rrGcxsWS/,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/465631018_580953371286002_2123497551273216910_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=TH4QnUsEX_MQ7kNvgHh9PSK&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MzI5NjUzODg0MTk1Nzc3OA%3D%3D.3-ccb7-5&oh=00_AYCSHPZbDSN5Vjs6TLBpB6tp1YbrUSNB8xWAR5rRRSkagg&oe=676B3F09&_nc_sid=8f1549,10,2,No caption,2024-11-03 17:08:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/DBxcmJSRj4_/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.2885-15/465019931_896496088793907_2266248433976876259_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=RoXfoVTsjrgQ7kNvgFMznn1&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MDY5Njk1MjgwMTU0MTY5NQ%3D%3D.3-ccb7-5&oh=00_AYC8x8DXUlyYiLM3kBwsD-u3YTX5bw4RNPeDm5L7HomSsQ&oe=676B3AED&_nc_sid=8f1549,8,1,"CARABAO CUP RO16
Spurs vs Manchester City Post Match Reaction:

A SPECTACULAR PERFORMANCE FROM THE LILYWHITE BOYS 🤩‼️

It was frustrating to not see all the chances in front of goal, converted properly. But they did eventually do enough to get the job done.

Plenty of players went down injured and some had to get off out of concern, that too from both teams. So I hope none of the injuries sustained by them are too serious 🙏 

BISSOUMA'S LAST DITCH SAVE WAS INCREDIBLE AND SAVED OUR GAME COMPLETELY 🤯🤯.

Seems like the FA wants us  to play the entire city of Manchester before we get to the eventual trophy 😅

We'll be up for any challenge 💪💪

COYS 🤍💙 AND WISH YOU ALL A HAPPY DIWALI AND HALLOWEEN 🪔🎆👻🎃‼️ 

#tottenhamhotspur #thfc #spurs #india #indian #singapore #malaysia #thailand #indonesia #unitedkingdom #uk #deepavali #diwali #halloween #mancity #manchestercity #spursvsmancity #carabaocup #premierleague  #instafootball #football #memes #angepostecoglou #pepguardiola #footballreels #reels",2024-10-31 03:01:40,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/DBop6SSRWl5/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.2885-15/464746431_1218087626146400_1862855682738393695_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=5LDPArvMtQMQ7kNvgFrKLOQ&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ4ODIyMjIzNjY2ODk0NjgwOQ%3D%3D.3-ccb7-5&oh=00_AYCebv6LgV2SnlbQMsVDin8Bj_DuHK8zWRE7dNT-h0NzKA&oe=676B29BC&_nc_sid=8f1549,9,1,"Matchweek 9: 
Crystal Palace vs Spurs

Why should we keep all the happiness to ourselves? Too much of anything is always harmful to our soul, just like the number of mistakes made in the entire game 😮‍💨

Remember, we've restored the balance between happiness and sadness.
😀⚖️🙁

Instead of whining about our shortcomings, let us all come together to celebrate the fact that we've spread joy to a team that needed it the most 🥹

#spurs #tottenhamhotspur #crystalpalace #cpfc #coys #matchweek9 #spursvscrystalpalace  #eagles #uk #unitedkingdom #singapore #indian #malaysia #thailand #indonesia #thfc #angepostecoglou #oliverglasner #memes #footballmemes #football #instafootball #footballreels #mindfulness #happiness #meditation #reels",2024-10-27 17:04:11,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/DBT7xVpxdi6/,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/464062834_1672273356889367_634381471101338953_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=bFz0mqeDQwwQ7kNvgEdFXvD&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ4MjM4OTgxMjEzNTQ1MDgxMA%3D%3D.3-ccb7-5&oh=00_AYCRxxw_FkDxzyd9W9gj7iTTR-YrLw_bB2JY8baxSDMQJA&oe=676B5370&_nc_sid=8f1549,13,2,"Matchweek 8: Spurs vs West Ham Utd

This week we scored loads! Next game, are we gonna score loads or take in loads? Hope we consistently dish out high quality performances and not go off and on like a flickering lightbulb

Kudus forgot he was playing football I think. The moment he saw the stool to sit on after scoring West Ham's first goal, he switched from football mode to WWE mode

Pedro really needs to improve his awareness on the field. He must remember he's a defender and he has to defend

Streak cut for Dom and Johnson! But it's not the end of the world, I know they'll start scoring goals again soon

Sarrman the difference maker, changed the complexion of the game and got us playing Red Hot Chili Pepper football 🥵🔥🔥🔥

Swede Inji Iduppazhagan Kulusevski triggered our comeback and the MOTM for his performance is well deserved

Let's go dominate AZ Alkmaar later this week!!

COYS 💙🤍‼️

#tottenhamhotspur #spurs #coys #westhamunited #hammers #whu #singapore #england #premierleague #football #footballfans #footballcommunity #thfc #southkorea #spursvswestham
#claret #white #sportsreels #instafootball #matchreactions #matchweek8 #epl #angepostecoglou #julienlopetegui #footballmemes #manutd #mancity #chelsea #arsenal #liverpool",2024-10-19 15:56:18,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://www.instagram.com/p/DAyuLFPxPoY/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.2885-15/462265309_1045504006856272_6018391402838549662_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=wx2zskDFGEkQ7kNvgE-mEa6&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ3MzA0MTMzNDM0MzEwNTA0OA%3D%3D.3-ccb7-5&oh=00_AYCs_PBBRrG06SxX4Zv0sws8T2XIqc7ycSagNW6EaL8Bzg&oe=676B2D8E&_nc_sid=8f1549,15,1,"Matchweek 7 : Brighton vs Spurs

THE BULLYING TOWARDS OUR CLUB IS BACK AGAIN AS BRIGHTON ENJOY THEIR KOTHTHU PRATA ‼️ 😤😤

1st half we were goated like Thalapathy, but in the 2nd half they katharifyed (tortured) us like Senapathy 😭😭😭 

#tottenhamhotspur #spurs #coys  #brightonandhovealbion  #brighton #bha #singapore #unitedkingdom #premierleague #football #footballfans #footballcommunity #thfc #southkorea #malaysia #india #brightonvspurs
#red #white #sportsreels #instafootball #matchweek7 #epl #angepostecoglou #fabianhurzeler  #footballmemes #indian #tamil #kollywood

@spursofficial @officialbhafc",2024-10-06 18:22:07,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,,
https://www.instagram.com/p/DArLpOcxTC0/,https://instagram.fsin15-1.fna.fbcdn.net/v/t51.2885-15/461875117_408986615582507_3515287923577365943_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=KGGpzabfPSEQ7kNvgH0Hx5s&_nc_gid=1d6bf244fb13436d99efbd7051aea230&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ3MDkxOTE0OTM0NDMzODEwMA%3D%3D.3-ccb7-5&oh=00_AYDopA29TFHdREe_ItCdI4PjwVwPCWm7b8p1EogPyf96mA&oe=676B2BCB&_nc_sid=8f1549,4,0,"Matchweek 2 of Europa League (Ferencváros vs Spurs)

Our youngsters need more minutes in future games to gain more experience and confidence in their game!

#16 needs 16 days of non-stop shooting drills before he even sets foot on the football pitch! Pathetic 🤦

#tottenhamhotspur #thfc #spurs #ferencváros #ferencvárosvsspurs #europaleague #europeanfootball #football #instafootball #footballcommunity #footballmemes #england #singapore #india #malaysia #indonesia #thailand #vietnam #philippines #englishpremierleague",2024-10-03 20:06:08,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
